date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2020-11-24 19:00:00,403.88,0.0,30.16,42.92,3.04,4.48,6.42,8.49
2020-11-24 20:00:00,407.22,0.01,29.13,36.12,3.58,4.61,7.04,9.75
2020-11-24 21:00:00,367.17,0.01,23.99,33.98,3.64,4.67,7.46,10.26
2020-11-24 22:00:00,313.76,0.01,18.85,33.26,3.31,4.75,7.7,10.26
2020-11-24 23:00:00,313.76,0.03,19.02,28.97,3.04,5.21,8.39,11.15
2020-11-25 00:00:00,320.44,0.04,19.54,24.68,2.44,5.5,8.68,12.03
2020-11-25 01:00:00,313.76,0.04,18.51,20.39,2.03,5.85,9.28,14.19
2020-11-25 02:00:00,300.41,0.04,16.62,16.63,1.82,6.34,10.28,15.96
2020-11-25 03:00:00,273.71,0.04,13.88,15.91,1.59,6.76,11.06,15.83
2020-11-25 04:00:00,270.37,0.05,13.2,14.31,1.59,7.25,12.08,16.09
2020-11-25 05:00:00,277.04,0.11,13.37,11.98,1.58,7.69,12.83,16.09
2020-11-25 06:00:00,290.39,0.3,14.4,9.66,1.67,8.02,12.93,15.71
2020-11-25 07:00:00,347.14,1.16,19.54,6.88,2.41,8.15,12.43,14.69
2020-11-25 08:00:00,520.71,9.61,26.05,4.25,3.73,8.85,13.48,14.57
2020-11-25 09:00:00,707.63,23.47,25.02,13.95,5.01,10.01,14.94,15.33
2020-11-25 10:00:00,397.21,6.2,13.71,50.78,3.99,7.81,10.02,8.61
2020-11-25 11:00:00,343.8,3.47,10.03,76.53,3.64,9.67,11.72,8.23
2020-11-25 12:00:00,320.44,1.79,7.2,105.86,3.28,12.38,14.4,8.49
2020-11-25 13:00:00,210.29,0.53,2.1,88.69,1.28,5.77,6.48,2.98
2020-11-25 14:00:00,195.27,0.36,1.46,86.55,0.97,4.63,5.08,1.88
2020-11-25 15:00:00,193.6,0.31,1.39,89.41,0.92,4.53,4.92,1.69
2020-11-25 16:00:00,383.85,4.75,16.97,78.68,2.38,5.82,6.99,5.89
2020-11-25 17:00:00,687.6,10.62,43.18,59.37,4.29,7.72,9.9,10.51
2020-11-25 18:00:00,814.44,8.27,64.43,30.04,5.25,8.29,11.11,13.05
2020-11-25 19:00:00,801.09,2.32,72.66,5.45,5.96,8.28,11.8,15.58
2020-11-25 20:00:00,761.03,4.25,61.01,2.08,6.62,8.33,12.63,16.21
2020-11-25 21:00:00,640.87,3.58,47.98,2.46,6.44,8.07,12.96,15.96
2020-11-25 22:00:00,487.33,1.4,35.3,5.05,5.54,7.49,12.73,15.96
2020-11-25 23:00:00,460.63,2.96,32.56,2.12,5.6,7.66,13.72,19.76
2020-11-26 00:00:00,420.57,2.63,31.19,2.57,4.83,7.35,13.58,22.55
2020-11-26 01:00:00,343.8,0.54,27.08,7.42,3.64,6.75,12.34,23.81
2020-11-26 02:00:00,280.38,0.06,19.71,14.84,2.68,6.3,11.14,22.8
2020-11-26 03:00:00,240.33,0.02,13.71,21.1,2.0,6.14,10.18,20.27
2020-11-26 04:00:00,230.31,0.01,11.14,23.25,1.86,6.38,10.16,19.51
2020-11-26 05:00:00,236.99,0.03,10.54,21.28,1.79,6.77,10.77,19.0
2020-11-26 06:00:00,257.02,0.13,12.17,15.91,1.71,7.25,11.64,17.23
2020-11-26 07:00:00,353.81,2.24,20.39,5.41,2.47,8.23,13.15,15.07
2020-11-26 08:00:00,634.19,21.01,25.02,0.69,4.23,10.09,16.13,15.71
2020-11-26 09:00:00,1041.41,50.07,27.42,5.36,6.14,12.59,19.67,17.73
2020-11-26 10:00:00,433.92,7.71,15.59,42.2,4.23,13.22,16.25,10.01
2020-11-26 11:00:00,397.21,4.08,12.17,76.53,4.65,17.58,20.49,8.49
2020-11-26 12:00:00,357.15,1.55,7.11,118.73,4.59,20.09,22.72,7.16
2020-11-26 13:00:00,220.3,0.31,1.63,105.86,2.65,11.52,12.65,2.85
2020-11-26 14:00:00,190.26,0.22,1.06,95.84,1.89,9.04,9.82,1.93
2020-11-26 15:00:00,185.25,0.2,1.05,94.41,1.83,8.72,9.45,1.85
