,Year,CO2(ppm),Temp
136,1886,291.33,7.9545
137,1887,291.62,7.914916666666667
138,1888,291.92,8.0905
139,1889,292.23,8.319
140,1890,292.55,7.971666666666667
141,1891,292.87,8.019333333333334
142,1892,293.2,8.065833333333332
143,1893,293.53,8.05675
144,1894,293.87,8.161
145,1895,294.2,8.147
146,1896,294.54,8.214916666666667
147,1897,294.88,8.293333333333333
148,1898,295.22,8.177999999999999
149,1899,295.56,8.396333333333333
150,1900,295.9,8.501583333333334
151,1901,296.24,8.541916666666667
152,1902,296.59,8.304416666666667
153,1903,296.93,8.220166666666666
154,1904,297.28,8.090916666666667
155,1905,297.63,8.225166666666667
156,1906,297.98,8.379083333333332
157,1907,298.34,7.947166666666667
158,1908,298.7,8.186083333333334
159,1909,299.06,8.17825
160,1910,299.42,8.223
161,1911,299.78,8.177
162,1912,300.15,8.165416666666667
163,1913,300.52,8.29775
164,1914,300.89,8.5905
165,1915,301.27,8.593166666666667
166,1916,301.64,8.22525
167,1917,302.02,8.023333333333333
168,1918,302.4,8.130833333333333
169,1919,302.77,8.38225
170,1920,303.15,8.358749999999999
171,1921,303.53,8.571
172,1922,303.9,8.408
173,1923,304.27,8.422166666666667
174,1924,304.64,8.506833333333335
175,1925,305.01,8.534416666666667
176,1926,305.38,8.728833333333332
177,1927,305.74,8.522083333333333
178,1928,306.1,8.632166666666667
179,1929,306.46,8.242416666666667
180,1930,306.81,8.633583333333332
181,1931,307.15,8.71925
182,1932,307.49,8.70525
183,1933,307.82,8.33825
184,1934,308.14,8.628333333333334
185,1935,308.45,8.51575
186,1936,308.75,8.554
187,1937,309.04,8.698333333333332
188,1938,309.31,8.863666666666667
189,1939,309.57,8.760333333333334
190,1940,309.82,8.764666666666667
191,1941,310.05,8.768666666666666
192,1942,310.26,8.728416666666666
193,1943,310.46,8.755083333333333
194,1944,310.65,8.845
195,1945,310.84,8.584833333333334
196,1946,311.02,8.676916666666667
197,1947,311.22,8.797083333333333
198,1948,311.42,8.74675
199,1949,311.65,8.58675
200,1950,311.89,8.365250000000001
