,Year,CO2(ppm),Temp
201,1951,312.16,8.625666666666667
202,1952,312.46,8.638250000000001
203,1953,312.79,8.87375
204,1954,313.15,8.560666666666666
205,1955,313.55,8.62625
206,1956,313.99,8.279583333333333
207,1957,314.45,8.7325
208,1958,314.96,8.77375
209,1959,315.74,8.732666666666667
210,1960,316.495,8.58375
211,1961,317.16999999999996,8.797666666666666
212,1962,317.905,8.745916666666666
213,1963,318.525,8.856
214,1964,319.21000000000004,8.409666666666666
215,1965,319.81,8.527416666666666
216,1966,320.885,8.599333333333332
217,1967,321.72,8.700083333333334
218,1968,322.605,8.516333333333334
219,1969,323.865,8.595083333333333
220,1970,324.885,8.700916666666666
221,1971,325.71500000000003,8.59925
222,1972,326.815,8.499583333333334
223,1973,328.47,8.94825
224,1974,329.28999999999996,8.4675
225,1975,330.34000000000003,8.744833333333334
226,1976,331.395,8.34725
227,1977,332.91499999999996,8.85025
228,1978,334.33500000000004,8.69275
229,1979,335.695,8.733416666666667
230,1980,337.32,8.980333333333332
231,1981,338.675,9.165833333333333
232,1982,340.045,8.639166666666666
233,1983,341.585,9.028166666666666
234,1984,343.15,8.691833333333333
235,1985,344.625,8.658
236,1986,345.99,8.833583333333333
237,1987,347.58500000000004,8.994416666666666
238,1988,349.53,9.201583333333334
239,1989,351.04499999999996,8.921999999999999
240,1990,352.44,9.234166666666667
241,1991,353.84000000000003,9.179416666666667
242,1992,355.04,8.836583333333333
243,1993,356.16499999999996,8.866583333333333
244,1994,357.835,9.03875
245,1995,359.635,9.347083333333334
246,1996,361.32500000000005,9.038916666666667
247,1997,362.7,9.202583333333333
248,1998,364.99,9.522666666666668
249,1999,366.655,9.285083333333334
250,2000,368.05499999999995,9.201166666666667
251,2001,369.67499999999995,9.414583333333333
252,2002,371.555,9.570416666666667
253,2003,373.64,9.525583333333334
254,2004,375.315,9.324583333333333
255,2005,379.98,9.700916666666666
256,2006,382.09,9.5325
257,2007,384.02,9.732166666666666
258,2008,385.83,9.43175
259,2009,387.64,9.50525
260,2010,390.1,9.703083333333334
261,2011,391.85,9.516
262,2012,394.06,9.507333333333333
263,2013,396.74,9.6065
264,2014,398.87,9.570666666666666
265,2015,401.01,9.831
